Year,Forecasted_Smoke,Lower_Bound,Upper_Bound
2024,0.5536207761974749,-0.8186660094125783,1.925907561807528
2025,-0.03417782795016608,-1.4064646135602192,1.338108957659887
2026,0.11701564236902222,-1.2552711432410308,1.4893024279790754
2027,0.4742379243052338,-0.8980488613048193,1.846524709915287
2028,0.2983572009639296,-1.0739295846461236,1.6706439865739826
2029,0.03071572827872332,-1.3415710573313298,1.4030025138887765
2030,0.21386415781221157,-1.1584226277978416,1.5861509434222647
2031,0.40693860167235535,-0.9653481839376978,1.7792253872824084
2032,0.22864015427791268,-1.1436466313321405,1.6009269398879657
2033,0.09605455413315472,-1.2762322314768983,1.468341339743208
2034,0.2616005296080677,-1.1106862560019855,1.6338873152181208
2035,0.3463963796601137,-1.0258904059499394,1.7186831652701668
2036,0.19824623523588553,-1.1740405503741675,1.5705330208459387
2037,0.15014542698334726,-1.2221413586267058,1.5224322125934004
2038,0.2786982570632703,-1.0935885285467828,1.6509850426733235
2039,0.29952798540175396,-1.072758800208299,1.6718147710118072
2040,0.19101236796662308,-1.18127441764343,1.5632991535766763
2041,0.1896563028084419,-1.1826304828016112,1.561943088418495
2042,0.27890453502588347,-1.0933822505841697,1.6511913206359365
2043,0.2670741151855357,-1.1052126704245175,1.6393609007955887
2044,0.1955497219200178,-1.1767370636900354,1.5678365075300709
2045,0.2156310099840457,-1.1566557756260074,1.5879177955940988
2046,0.2714140396746155,-1.1008727459354377,1.6437008252846685
2047,0.2468447075453993,-1.125442078064654,1.6191314931554524
2048,0.20463045066211366,-1.1676563349479394,1.5769172362721668
